K,gamma,fold,rseed,logL,acc_train,auc_train,logL_test,acc_test,auc_test
2,0.5,0,414,-2571.4024748171473,0.6625,0.566617174684567,-645.4459738808703,0.55,0.534830503770316
2,0.5,1,414,-2605.8868162960684,0.65,0.603942360234403,-599.5390029634427,0.55,0.5425591269955461
2,0.5,2,414,-2596.5396788860176,0.6875,0.5967719278978703,-629.4496102607033,0.4,0.5698043433745992
2,0.5,3,414,-2565.1752085673124,0.5625,0.5965174861569804,-661.5458409311034,0.6,0.5346643081607062
2,0.5,4,414,-2612.22226303865,0.5375,0.5954824462105912,-596.5128647283088,0.5,0.5436322725811635
